departamento,provincia,municipio,viviendas
BENI,CERCADO,SAN JAVIER,1347
BENI,CERCADO,TRINIDAD,54851
BENI,GRAL. JOSE BALLIVIAN,SAN BORJA,9978
BENI,ITENEZ,BAURES,2367
BENI,ITENEZ,HUACARAJE,1835
BENI,ITENEZ,MAGDALENA,5264
BENI,MAMORE,PUERTO SILES,225
BENI,MAMORE,SAN JOAQUIN,2532
BENI,MAMORE,SAN RAMON,2391
BENI,MARBAN,LORETO,711
BENI,MARBAN,SAN ANDRES,279
BENI,MARBAN,SAN IGNACIO  DE MOXOS,129
BENI,MOXOS,SAN IGNACIO,6876
BENI,VACA DIEZ,GUAYARAMERIN,20604
BENI,VACA DIEZ,RIBERALTA,44928
BENI,YACUMA,EXALTACION,624
BENI,YACUMA,SANTA ANA DE YACUMA,108
CHUQUISACA,OROPEZA,SUCRE,97756
COCHABAMBA,CERCADO,COCHABAMBA,76972
LA PAZ,MURILLO,EL ALTO,37035
LA PAZ,MURILLO,NUESTRA SEÑORA DE LA PAZ,69337
ORURO,CERCADO,CARACOLLO,14633
ORURO,CERCADO,EL CHORO,5587
ORURO,CERCADO,ORURO,214847
ORURO,CERCADO,PARIA (SORACACHI),7771
ORURO,PANTALEON DALENCE,HUANUNI,5120
ORURO,PANTALEON DALENCE,MACHACAMARCA,3644
ORURO,PANTALEON DALENCE,VILLA HUANUNI,8473
ORURO,POOPO,POOPO,1034
ORURO,SAUCARI,TOLEDO,2563
ORURO,TOMAS BARRON,EUCALIPTUS,3105
PANDO,ABUNA,SANTA ROSA DEL ABUNA,443
PANDO,FEDERICO ROMAN,NUEVA ESPERANZA,678
PANDO,FEDERICO ROMAN,VILLA NUEVA,341
PANDO,FEDERICO ROMAN,VILLA NUEVA (LOMA ALTA),225
PANDO,MADRE DE DIOS,PUERTO GONZALO MORENO,784
PANDO,MADRE DE DIOS,SAN LORENZO,1053
PANDO,MADRE DE DIOS,SENA,2218
PANDO,MANURIPI,FILADELFIA,3757
PANDO,MANURIPI,PUERTO RICO,2667
PANDO,NICOLAS SUAREZ,BELLA FLOR,1288
PANDO,NICOLAS SUAREZ,BOLPEBRA,1156
PANDO,NICOLAS SUAREZ,COBIJA,28438
PANDO,NICOLAS SUAREZ,PORVENIR,3469
POTOSI,ANTONIO QUIJARRO,PORCO,5970
POTOSI,ANTONIO QUIJARRO,TOMAVE,4582
POTOSI,ANTONIO QUIJARRO,UYUNI,3593
POTOSI,CORNELIO SAAVEDRA,BETANZOS,4976
POTOSI,CORNELIO SAAVEDRA,CHAQUI,1155
POTOSI,CORNELIO SAAVEDRA,TACOBAMBA,239
POTOSI,DANIEL CAMPOS,LLICA,2263
POTOSI,JOSE MARIA LINAREZ,"CAIZA ""D""",2008
POTOSI,JOSE MARIA LINAREZ,PUNA,2621
POTOSI,TOMAS FRIAS,POTOSI,105969
POTOSI,TOMAS FRIAS,TINGUIPAYA,14791
POTOSI,TOMAS FRIAS,URMIRI,2700
POTOSI,TOMAS FRIAS,YOCALLA,5959
SANTA CRUZ,ANDRES IBAÑEZ,SANTA CRUZ,296386
TARIJA,CERCADO,TARIJA,104883
